TitleID,PlaytimeSeconds,Launches,FirstPlayed,LastPlayed
0004000000030800,881460,741,2018-11-02,2026-03-22
00040000000ec300,625140,264,2018-11-02,2025-12-29
0004000000125500,488940,308,2020-05-26,2025-09-10
0004000000703200,444840,184,2021-03-10,2025-07-28
00040000001b8700,402120,173,2022-03-13,2025-06-18
0004800443505545,397560,220,2021-06-06,2025-03-23
0004000000088900,396300,206,2018-08-31,2026-01-11
0004000000033600,391080,215,2022-01-25,2025-08-05
0004000000164600,334560,372,2019-06-13,2022-08-06
0004000000176f00,316080,225,2020-10-04,2026-01-30
00040000005dea00,313740,146,2021-02-22,2023-10-26
0004000000055d00,280320,120,2022-02-15,2025-12-10
0004800441444145,269160,140,2021-06-06,2025-12-21
0004000000172600,258420,176,2020-06-06,2023-01-30
0004000000055e00,225660,149,2022-02-17,2025-12-25
0004000000141000,200640,275,2019-06-13,2023-08-07
0004000000175e00,147360,59,2022-10-25,2025-06-07
000480044952424f,132960,227,2021-09-28,2025-09-10
0004000000164800,132180,72,2022-10-25,2025-05-09
000400000017ea00,131880,57,2022-02-17,2022-10-22
00040000000a8500,121320,32,2023-04-21,2025-09-09
000400000014f100,117960,57,2020-12-12,2024-12-30
0004000000058f00,101640,59,2023-01-20,2024-09-29
0004000000ccb800,97440,52,2021-12-29,2023-08-05
000400000012d600,92880,45,2020-09-17,2021-11-09
0004000000086300,87780,42,2024-12-28,2025-12-31
00040000000edf00,85200,110,2022-10-25,2026-02-11
00048004415a4545,77160,36,2022-06-04,2025-09-17
0004001000021e00,75480,62,2018-08-11,2026-01-08
0004001000021400,73140,263,2018-07-19,2026-03-08
0004000000034c00,71040,61,2020-08-25,2021-12-02
0004003000009400,67860,204,2018-12-17,2026-01-18
0004001000021500,62220,157,2018-08-11,2026-01-18
0004000000051400,59640,47,2021-12-06,2026-01-13
000400000beef500,54240,170,2021-11-07,2026-02-27
0004000000058c00,52200,49,2022-12-23,2023-12-10
0004000000061a00,50520,7,2023-12-24,2023-12-30
0004001020021d00,48120,110,2018-08-11,2026-02-27
0004001000021800,45300,122,2018-12-17,2026-05-15
0004000000081100,44460,39,2020-06-15,2022-10-03
00040000001a0400,43320,52,2024-03-27,2026-01-20
0004001000021000,42660,377,2018-07-19,2026-02-27
0004000000137e00,41340,29,2025-12-18,2026-02-27
000400000f800100,40920,237,2020-05-26,2026-02-27
000400000015d800,40260,45,2020-01-29,2022-06-24
000400000c243300,33060,21,2025-06-14,2026-02-27
00040000000d7d00,32040,38,2019-06-18,2020-12-10
0004001000021700,30660,113,2018-12-17,2026-03-08
0004001000021900,27060,102,2018-07-19,2024-12-28
0004000006942000,24900,70,2021-11-07,2026-02-24
00040000000ae200,24660,33,2022-08-27,2026-02-03
000400000d921e00,24360,96,2020-05-27,2026-05-10
0004000000188c00,23340,8,2026-01-23,2026-02-27
0004001000021200,23220,197,2018-12-17,2026-03-04
000400000f701400,20700,68,2018-07-19,2026-01-19
00040000000f2200,20400,20,2022-08-28,2026-01-26
0004000000153500,18780,49,2019-10-18,2025-05-11
0004003000009300,17040,159,2018-12-17,2025-12-30
0004001020024100,16140,67,2018-12-17,2025-06-24
0004003000009600,15960,212,2018-12-17,2026-02-27
000400000f3d5c00,15540,9,2025-05-08,2026-01-25
00040000000c6600,14040,16,2022-05-13,2026-02-27
0004000003df1000,10860,25,2024-05-04,2026-01-23
000400000ec10000,10260,24,2022-05-11,2025-05-08
00040000000b0f00,9600,30,2019-06-14,2020-01-17
000400300000bd00,9300,69,2018-12-17,2025-12-26
000400000f700100,8340,9,2022-10-29,2023-03-21
000400000f102000,7200,29,2021-10-11,2025-02-27
0004003000009700,6600,95,2018-07-19,2026-05-11
000400000bcfff00,5340,62,2020-05-26,2025-12-29
0004001000021100,4560,38,2018-12-17,2024-03-27
000400100002c000,3960,22,2018-12-24,2025-05-08
0004000000c70400,3840,2,2023-03-21,2023-03-21
0004800453524c41,3840,22,2021-10-03,2026-01-12
00040000000afe00,3240,39,2020-05-26,2024-05-01
0004000000360000,3180,10,2025-12-15,2025-12-15
00040000001a2d00,3000,8,2022-02-24,2026-01-18
000480044b575241,2760,4,2026-01-01,2026-01-08
000400000eb00000,2580,43,2020-09-15,2026-02-03
000400000d40d200,2520,26,2024-05-01,2026-02-27
00040000001a7100,2400,3,2022-10-25,2025-01-29
000400000bafe000,2400,12,2022-06-03,2026-01-23
0004000004391500,1680,18,2021-11-07,2025-12-16
000400000006a400,1620,1,2022-08-24,2022-08-24
0004000001620000,1560,23,2021-10-11,2025-12-16
0004001020021300,1440,14,2018-12-15,2025-12-05
0004000000103000,1380,8,2021-10-11,2025-12-16
00040000000c9b00,1020,4,2022-03-25,2023-07-06
00040000001deb00,960,15,2020-05-30,2024-11-03
00048004484e4945,900,4,2025-12-21,2026-01-12
000400000bf74d00,840,3,2026-01-01,2026-01-12
0004000000df1000,780,10,2025-05-26,2025-12-31
0004003000009e00,720,11,2018-12-17,2025-01-02
0004000009f99e00,660,2,2025-05-08,2025-07-30
